NAME,HT,WT,CLASS,HOMETOWN,STATE,SCHOOL,GPA,CRIMES,INJURIES,SCHOOLID,MAJOR
Messiah deWeaver,76,221,FR,Huber Heights,OH,Michigan State,2.68,0,2,78264512,Psychology
Matt Morrissey,75,209,JR,Lincolnshire,IL,Michigan State,3.72,0,3,103631301,Sports Management
Connor Heyward,73,219,FR,Duluth,GA,Michigan State,3.4,0,7,475512386,Theater
Rocky Lombardi,76,216,FR,Clive,IA,Michigan State,3.23,0,3,776732822,Theater
Mickey Macius,74,211,JR,Arlington Heights,IL,Michigan State,3.79,0,5,529795466,Exercise Science
Laress Nelson,68,179,FR,Fort Lauderdale,FL,Michigan State,3.35,0,3,395935323,Labor Studies
Emmanuel Flowers,73,184,FR,Chino Hills,CA,Michigan State,3.26,0,6,813481415,Creative Writing
Brian Lewerke,75,212,SO,Phoenix,AZ,Michigan State,4,0,4,864221311,Communication
Tyson Smith,71,170,JR,Southfield,MI,Michigan State,2.29,0,4,997475511,Communication
Austin Andrews,73,193,FR,Columbus,OH,Michigan State,2.8,1,3,819145428,Communication
Brandon Sowards,73,193,JR,Wyandotte,MI,Michigan State,3.4,0,7,937150835,History
Tyriq Thompson,73,239,SO,Detroit,MI,Michigan State,1.96,0,14,899725630,Mechanical Engineering
Felton Davis III,76,195,JR,Richmond,VA,Michigan State,3.42,0,6,818194144,Communication
Josh Butler,73,186,SO,Mesquite,TX,Michigan State,3.64,0,1,27597254,Nutrition
Nick Krumm,70,190,SO,Commerce Township,MI,Michigan State,2.84,0,5,183031513,Exercise Science
Davis Lewandowski,73,201,SO,Okemos,MI,Michigan State,2.98,0,11,372633652,Economics
Jalen Watts-Jackson,71,184,JR,Detroit,MI,Michigan State,2.93,0,5,328980569,Nutrition
Cam Chambers,74,211,FR,Sicklerville,NJ,Michigan State,2.37,2,7,771504110,Creative Writing
Josiah Scott,70,173,FR,Hamilton,OH,Michigan State,3.24,1,2,539597993,Criminal Justice
Chris Frey,74,238,SR,Upper Arlington,OH,Michigan State,2.54,0,12,691505584,Political Science
Gerald Holmes,73,231,SR,Flint,MI,Michigan State,2.5,0,10,596547378,Sports Management
Tre Person,70,165,FR,Atlanta,GA,Michigan State,2.75,0,6,917531167,Communication
Jake Hartbarger,76,201,JR,Waterville,OH,Michigan State,3.42,0,0,821359441,Sports Management
Darrell Stewart Jr.,74,210,SO,Houston,TX,Michigan State,2.87,1,7,857466230,Criminology
Brandon Randle,74,231,FR,Battle Creek,MI,Michigan State,2.52,0,5,667736536,Biology
Weston Bridges,71,197,FR,Copley,OH,Michigan State,2.68,0,9,397075769,Economics
Khari Willis,73,215,JR,Jackson,MI,Michigan State,3.92,1,8,702345114,Geography
Madre London,73,218,JR,Little Rock,AR,Michigan State,2.68,1,11,583944789,Exercise Science
Shakur Brown,73,180,FR,Stockbridge,GA,Michigan State,3.32,0,5,915120949,Nutrition
Tanner Hallock,73,225,FR,Grand Rapids,MI,Michigan State,3.62,0,9,781750571,Chemical Engineering
T.J. Harrell,73,198,JR,Tampa,FL,Michigan State,3.07,0,2,947421756,Sports Management
Corey Pryor,70,204,FR,Jackson,MI,Michigan State,2.34,1,3,428489378,Music
Antjuan Simmons,73,217,FR,Ann Arbor,MI,Michigan State,2.69,2,11,734890442,Biology
Joe Bachie,74,233,SO,Brook Park,OH,Michigan State,3.91,0,10,911866383,Electrical Engineering
Noah Sargent,73,185,SO,Fenton,MI,Michigan State,2.24,0,9,674533464,Civil Engineering
Dante Razzano,74,225,FR,Niles,MI,Michigan State,1.76,2,14,685556308,Communication
Byron Bullough,73,228,JR,Traverse City,MI,Michigan State,2.68,0,12,410072890,Geography
Ben Line,74,245,SR,Oxford,MI,Michigan State,1.49,1,14,318734024,Computer Science
Collin Lucas,73,232,JR,Avon Lake,OH,Michigan State,2.74,2,12,405583041,Sports Management
Reid Burton,73,234,FR,East Lansing,MI,Michigan State,1.88,0,14,399858884,Communication
Gerald Owens,74,312,JR,Thorofare,NJ,Michigan State,2.55,2,7,751054690,Labor Studies
Hussien Kadry,75,230,SR,Dearborn,MI,Michigan State,3.26,0,5,306127505,Labor Studies
Brent Mossburg,74,204,FR,Carleton,MI,Michigan State,1.14,0,13,690631905,Psychology
Jack Mandryk,73,184,FR,Hudsonville,MI,Michigan State,3.56,0,5,12730471,Sports Management
Grayson Miller,75,208,JR,Georgetown,KY,Michigan State,3.57,0,7,507162057,Communication
Max Rosenthal,74,235,FR,Winnetka,IL,Michigan State,1.38,1,13,348491602,Economics
Joe Palange,73,250,SR,Cleveland,OH,Michigan State,2.67,0,8,127613231,Economics
Darien Tipps-Clemons,71,219,FR,Piqua,OH,Michigan State,1.45,0,13,316483486,Labor Studies
Ryan Armour,73,219,SO,Traverse City,MI,Michigan State,2.96,0,1,431114692,Communication
Noah Harvey,75,209,FR,Hartland,WI,Michigan State,2.43,0,13,577014674,Political Science
Kenny Willekes,76,244,SO,Rockford,MI,Michigan State,2.66,3,10,162009457,Theater
Shane Jones,73,236,SR,Cincinnati,OH,Michigan State,1.12,0,14,356496453,Communication
Sean Harrington,76,227,SR,Commerce Township,MI,Michigan State,1.58,0,11,971768979,Criminal Justice
Kyonta Stallworth,75,289,SO,Detroit,MI,Michigan State,3.14,0,5,372829975,Creative Writing
Dillon Alexander,76,247,JR,Forsyth,GA,Michigan State,2.5,0,8,43441473,Exercise Science
Peter Fisk,73,228,FR,Grand Rapids,MI,Michigan State,2.29,1,12,928238917,Sports Management
Mitchell Sokol,75,219,FR,Rochester,MI,Michigan State,1.82,0,12,334294513,Communication
Jordan Reid,76,271,FR,Mount Clemens,MI,Michigan State,1.96,0,13,890127902,Public Policy
Matt Carrick,76,319,FR,Minerva,OH,Michigan State,2.92,0,7,776525636,Communication
Collin Caflisch,76,275,SO,Canton,MI,Michigan State,3.23,0,3,960152703,Communication
Devyn Salmon,74,327,SR,Plant City,FL,Michigan State,3.41,0,4,111729083,Communication
David Beedle,77,329,JR,Clarkston,MI,Michigan State,2.37,0,12,505269509,Exercise Science
Casey Schreiner,76,323,JR,Bethel Park,PA,Michigan State,2.5,0,7,746465513,Labor Studies
Cole Chewins,80,284,SO,Clarkston,MI,Michigan State,1.73,1,14,667559190,Criminal Justice
Luke Campbell,77,293,FR,Lewis Center,OH,Michigan State,2.12,0,11,114302189,ITI
Noah Listermann,80,312,SO,Cincinnati,OH,Michigan State,2.19,0,14,606118396,Labor Studies
Matt Allen,75,301,FR,Hinsdale,IL,Michigan State,3.8,0,1,711335179,Business
Brian Allen,74,302,SR,Hinsdale,IL,Michigan State,4,1,1,249133034,Finance
Blake Bueter,76,304,FR,Howell,MI,Michigan State,2.7,0,10,754604693,Mechanical Engineering
Bryce Wilker,77,293,SO,Belding,MI,Michigan State,1.47,0,13,319869184,Economics
Jeremy Schram,76,311,JR,White Lake,MI,Michigan State,3.27,0,2,53733996,English 
Tommy Liesveld,78,270,SO,Bloomfield Hills,MI,Michigan State,3.31,1,2,645755274,Geography
Tyler Higby,77,293,SO,Houston,TX,Michigan State,2.91,0,10,289710200,Criminology
Mike Panasiuk,76,294,SO,Roselle,IL,Michigan State,1.79,0,10,771304109,Music
Dennis Finley,79,307,SR,Detroit,MI,Michigan State,2.55,0,12,295992832,Labor Studies
Jack Henrichs,78,262,FR,Thiensville,WI,Michigan State,3.49,0,2,654344797,Computer Engineering
Kevin Jarvis,76,312,FR,Park Ridge,IL,Michigan State,2.06,0,10,228835126,Computer Science
AJ Arcuri,79,274,FR,Powell,OH,Michigan State,1.53,0,12,207753604,Sports Management
Nick Padla,79,311,JR,Berrien Springs,MI,Michigan State,4,2,1,919532071,ITI
Mustafa Khaleefah,77,281,FR,Dearborn Heights,MI,Michigan State,1.53,1,13,71067432,Industrial Engineering
Matt Seybert,76,242,SO,Traverse City,MI,Michigan State,2.97,0,7,752448005,Sports Management
Matt Sokol,78,250,JR,Rochester,MI,Michigan State,2.03,0,8,984039035,Music
Jack Camper,76,239,FR,Virginia Beach,VA,Michigan State,2.65,0,6,850741957,History
Mufi Hill-Hunt,77,270,FR,Sandy,UT,Michigan State,3.32,0,5,536840187,Sports Management
Noah Davis,76,248,FR,Cincinnati,OH,Michigan State,2.45,0,7,583954334,Sports Management
Brock Makaric,75,192,SR,Saginaw,MI,Michigan State,2.99,0,7,378592121,Computer Science
Khylin Barton,73,201,FR,Zeeland,MI,Michigan State,3.19,1,8,985001680,Criminal Justice
Drew Beesley,74,240,FR,Rochester Hills,MI,Michigan State,2.67,0,2,883976201,English 
Trishton Jackson,73,179,SO,West Bloomfield,MI,Michigan State,2.96,0,4,293780454,Communication
Jahz Watts,71,173,FR,Belleville,MI,Michigan State,1.87,0,4,673219809,Communication
Andre Welch,69,175,FR,Kentwood,MI,Michigan State,2.73,0,2,384916093,Biology
Matt Dotson,77,234,FR,Kenton,OH,Michigan State,1.89,1,9,965028993,Economics
Robert Bowers,77,249,JR,Columbus,OH,Michigan State,1.58,1,7,434842366,Economics
DeAri Todd,74,253,FR,Lorain,OH,Michigan State,2.29,0,12,199337913,Chemical Engineering
Naquan Jones,76,328,FR,Mount Prospect,IL,Michigan State,1.98,1,6,935868096,Sociology
Jack McKenna,73,179,FR,Commerce Township,MI,Michigan State,3.63,1,0,875020768,Business
Chase Gianacakos,78,296,JR,Saint Charles,IL,Michigan State,3.42,0,3,279176939,Creative Writing
Jacub Panasiuk,75,266,FR,Roselle,IL,Michigan State,2.01,0,11,41525990,Music
Justice Alexander,77,245,SO,Macedonia,OH,Michigan State,2.97,0,7,231319464,Communication
Tyler Hunt,74,195,FR,Gobles,MI,Michigan State,2.43,0,0,700499197,Biology
Demetrius Cooper,78,249,SR,Chicago,IL,Michigan State,3.95,0,6,292810805,Sports Management
Cole Hahn,70,186,FR,West Des Moines,IA,Michigan State,2.71,0,0,551630273,Chemical Engineering
Raequan Williams,76,300,SO,Chicago,IL,Michigan State,2.99,1,6,177240031,Public Policy
Tyler Lancaster,76,315,SR,Romeoville,IL,Northwestern,2.98,0,7,519200971,Nutrition
Flynn Nagel,71,194,JR,Lemont,IL,Northwestern,3.16,6,3,603814926,Sports Management
Keith Watkins II,71,196,SR,Cincinnati,OH,Northwestern,3.48,11,2,183306516,Industrial Engineering
JR Pace,73,193,FR,College Park,GA,Northwestern,3.82,15,3,234882608,Dance
Solomon Vault,70,192,SR,Gaithersburg,MD,Northwestern,2.68,5,9,514212942,Music
Charlie Fessler,75,210,SO,Erie,PA,Northwestern,3.1,0,8,231962110,Economics
Jelani Roberts,68,172,JR,Owings Mills,MD,Northwestern,3.1,9,7,760788731,Theater
Matt Alviti,73,204,SR,Park Ridge,IL,Northwestern,3,6,2,536260680,Sports Management
Marcus McShepard,71,200,SR,University Heights,OH,Northwestern,3.03,12,2,354109851,Economics
Auston Anderson,69,198,JR,Plano,TX,Northwestern,2.08,9,8,877215706,Criminology
Garrett Dickerson,75,248,SR,Englewood,NJ,Northwestern,2.97,6,7,604210252,Communication
TJ Green,74,202,SO,Leawood,KS,Northwestern,3.23,0,3,510632799,Exercise Science
Brett Walsh,73,220,SR,Monrovia,CA,Northwestern,2.77,13,12,103901445,Theater
Aidan Smith,74,205,FR,Fort Wayne,IN,Northwestern,2.38,0,5,507716153,History
Parrker Westphal,73,205,JR,Bolingbrook,IL,Northwestern,3.12,4,4,838541268,Sports Management
Alonzo Mayo,71,188,SO,Baltimore,MD,Northwestern,3.44,14,4,985579465,Sports Management
Warren Long,73,218,SR,Union City,CA,Northwestern,2.39,7,12,364441751,Sports Management
Andrew Marty,75,218,FR,Cincinnati,OH,Northwestern,2.89,6,3,712353583,Finance
Charlie Kuhbander,73,189,FR,Springboro,OH,Northwestern,3.84,9,0,730223069,Labor Studies
Lloyd Yates,74,215,SO,Oak Park,IL,Northwestern,2.91,6,5,863182335,Sports Management
Macan Wilson,73,185,SR,Houston,TX,Northwestern,3.24,17,6,493442593,Exercise Science
Godwin Igwebuike,73,212,SR,Pickerington,OH,Northwestern,2.65,3,6,961850110,Theater
Jalen Brown,73,198,JR,Phoenix,AZ,Northwestern,3.1,9,7,363383082,Public Policy
Daniel Kubiuk,73,210,JR,Barrington,IL,Northwestern,3.7,8,0,314187445,Finance
Cameron Ruiz,71,168,FR,Lake Villa,IL,Northwestern,3.28,6,2,344478281,ITI
Clayton Thorson,76,225,JR,Wheaton,IL,Northwestern,2.89,1,2,537825536,Music
Riley Lees,73,193,FR,Libertyville,IL,Northwestern,2.64,9,7,180578687,Political Science
John Moten IV,73,203,SO,--,--,Northwestern,2.46,5,9,756949009,Sports Management
Justin Jackson,71,200,SR,Carol Stream,IL,Northwestern,3.2,7,6,578707729,English 
Kyle Queiro,75,220,SR,Verona,NJ,Northwestern,3.59,9,3,656280589,Creative Writing
Bryce Jackson,73,188,FR,Lantana,TX,Northwestern,2.91,5,6,391926431,Communication
Steven Reese,74,208,SO,Buford,GA,Northwestern,3.92,12,3,732127723,Communication
Donovan Sermons,71,185,FR,Pomona,CA,Northwestern,3.14,8,6,676495446,Finance
Alex Bousky,71,170,JR,Peoria,IL,Northwestern,2.77,4,7,498670401,Sociology
Montre Hartage,73,195,JR,Cordele,GA,Northwestern,4,7,2,898066300,Criminal Justice
Corey Acker,69,188,SR,Ballston Lake,NY,Northwestern,2.41,6,10,399609107,Exercise Science
Austin Hiller,74,197,FR,Lakeway,TX,Northwestern,3.65,4,5,201882638,Computer Science
Brian Bullock,71,193,FR,Round Rock,TX,Northwestern,3.38,16,4,957522583,Communication
Chad Hanaoka,66,188,SR,Honolulu,HI,Northwestern,2.32,9,10,522202818,ITI
Roderick Campbell,73,193,SO,--,--,Northwestern,3.24,19,3,883698090,Sports Management
Jeremy Larkin,70,194,FR,Cincinnati,OH,Northwestern,2.51,16,10,943764210,Labor Studies
Trae Williams,73,212,SO,The Plains,OH,Northwestern,2.56,15,2,813625038,Sports Management
Luke Otto,68,220,SR,Normal,IL,Northwestern,3.47,3,0,779569581,Computer Engineering
Nate Hall,74,230,JR,Toledo,OH,Northwestern,1.58,4,13,752477890,Exercise Science
Travis Whillock,73,205,FR,Katy,TX,Northwestern,3.46,8,4,93596605,Chemical Engineering
Chee Anyanwu,74,204,FR,Buford,GA,Northwestern,2.39,4,10,765783732,Economics
Makay Redd,73,252,SR,Pomona,CA,Northwestern,3.1,9,0,564682241,Industrial Engineering
Erik Mueller,74,225,FR,Wheaton,IL,Northwestern,2.95,8,14,617999328,Economics
Jesse Brown,71,198,SO,Lilburn,GA,Northwestern,2.17,2,10,511101516,Communication
Moe Almasri,71,180,SR,Mokena,IL,Northwestern,3.45,6,3,66999413,Exercise Science
Cody Gronewold,73,170,FR,LINCOLN,NE,Northwestern,4,3,0,50267600,Geography
Drew Luckenbaugh,73,206,FR,Spring Grove,PA,Northwestern,3.23,3,0,426581656,Criminology
Mason Weissenhofer,73,210,SO,Plainfield,IL,Northwestern,3.2,0,0,896297436,Psychology
Peter McIntyre,74,221,FR,Perrysburg,OH,Northwestern,1.86,9,12,119982549,Criminal Justice
Jared McGee,73,220,JR,Mansfield,TX,Northwestern,3.27,21,4,470967410,Exercise Science
Paddy Fisher,76,245,FR,Katy,TX,Northwestern,2.46,8,9,30783282,Sociology
Tyler Gillikin,74,220,FR,Atlanta,GA,Northwestern,4,4,1,465368032,Sports Management
James Prather,76,265,JR,Memphis,TN,Northwestern,2.63,14,5,650336609,Computer Engineering
Nathan Fox,74,230,SO,Houston,TX,Northwestern,2.33,3,11,521311209,Political Science
Troy Hudetz,74,222,FR,Naperville,IL,Northwestern,1.44,6,13,811177904,Biology
Eric Lutzen,78,235,JR,Pewaukee,WI,Northwestern,2.88,9,8,55179439,Communication
Joe Bergin,71,200,SO,Bloomfield Hills,MI,Northwestern,3.38,5,4,865196142,Geography
Peter Snodgrass,73,203,FR,Palo Alto,CA,Northwestern,4,7,1,366241910,Exercise Science
Chris Bergin,71,200,FR,Bloomfield Hills,MI,Northwestern,1.97,13,11,217399616,Gender Studies
Trey Klock,76,285,JR,Hummelstown,PA,Northwestern,3.68,0,2,709162092,Political Science
Samuel Gerak,75,278,FR,Avon,OH,Northwestern,3.53,4,0,704279591,Civil Engineering
Jango Glackin,73,225,FR,Lebanon,OH,Northwestern,1.38,0,12,832272563,Animal Science
Blake Gallagher,73,221,FR,Raynham,MA,Northwestern,1.54,3,13,686140873,Electrical Engineering
Trent Goens,75,254,SO,Chino Hills,CA,Northwestern,2.72,7,4,906784678,Exercise Science
Mark Gooden,73,251,FR,Reynoldsburg,OH,Northwestern,3.12,0,5,46328317,Labor Studies
Xavier Washington,73,250,SR,Cedar Hill,TX,Northwestern,2.09,9,11,64375224,Labor Studies
Cam Kolwich,77,292,FR,Beverly Hills,MI,Northwestern,2.57,14,3,412233456,Economics
Trevor Stroebel,76,233,SR,Saukville,WI,Northwestern,1.89,8,2,626499134,Communication
J.B. Butler,75,305,JR,Plainfield,IL,Northwestern,3.57,13,3,843105549,Economics
Jason Goosen,79,302,FR,Virginia Beach,VA,Northwestern,3.35,15,1,218237045,Economics
Andrew Otterman,76,304,SO,Morristown,NJ,Northwestern,3.52,11,4,59876142,Communication
Jared Thomas,76,285,SO,Indianapolis,IN,Northwestern,3.4,2,0,985986135,Criminal Justice
Nik Urban,75,300,FR,Willoughby,OH,Northwestern,3.3,0,1,520170566,Economics
Brad North,74,290,SR,Allen,TX,Northwestern,3.55,6,0,288592881,Civil Engineering
Rashawn Slater,75,289,FR,Sugar Land,TX,Northwestern,2.92,15,0,272739221,Sports Management
Tommy Doles,76,292,JR,Grand Rapids,MI,Northwestern,2.98,10,3,463279045,Sports Management
Blake Hance,77,300,JR,Jacksonville,IL,Northwestern,3.11,11,1,795843996,Sports Management
Gunnar Vogel,78,285,FR,Columbus,OH,Northwestern,2.74,15,0,724024224,Industrial Engineering
Graham Bullmore,79,298,SR,Kenosha,WI,Northwestern,4,5,0,639365436,English 
Ben Oxley,78,286,JR,Avon Lake,OH,Northwestern,2.85,1,3,924957352,Economics
Ethan Wiederkehr,77,273,FR,Wading River,NY,Northwestern,3.8,0,0,905901549,Political Science
Jesse Meyler,76,306,FR,Toronto,CA,Northwestern,3.07,6,1,55593088,Industrial Engineering
Adam Lemke-Bell,77,288,SO,Oak Park,IL,Northwestern,3.71,13,3,992511709,Civil Engineering
Trey Pugh,76,236,FR,Plain City,OH,Northwestern,3.24,0,7,245490326,Computer Science
Ramaud Chiaokhiao-Bowman,74,199,FR,Minneapolis,MN,Northwestern,1.98,6,8,196942065,Communication
Jace James,73,194,FR,Carol Stream,IL,Northwestern,3.89,7,4,842224554,Industrial Engineering
Alex Oelsner,76,233,FR,Niwot,CO,Northwestern,2.61,7,6,677121606,Labor Studies
Will Lansbury,74,196,FR,Pebble Beach,CA,Northwestern,2.58,2,7,172403661,Communication
Heath Reineke,75,245,JR,Ashland,OH,Northwestern,2.72,11,8,214753359,Exercise Science
Cameron Green,75,230,SO,Buffalo Grove,IL,Northwestern,2.64,3,5,539000933,Gender Studies
Jackson Tirmonia,75,196,FR,Canton,OH,Northwestern,2.66,13,8,599745486,Criminology
Cody Link,75,238,FR,Madison,WI,Northwestern,3.82,11,4,562308285,Sports Management
Kyric McGowan,70,191,FR,Dalton,GA,Northwestern,2.79,0,6,503946160,Communication
Eric Eshoo,76,232,FR,Chicago,IL,Northwestern,3.05,12,5,3414177,Economics
Trevor Kent,78,262,FR,Pittsburg,KS,Northwestern,2.7,11,10,879564974,Dance
Bennett Skowronek,76,218,SO,Fort Wayne,IN,Northwestern,3.19,16,5,22500659,Biology
Berkeley Holman,71,176,FR,Irvine,CA,Northwestern,3.51,10,6,668242981,Sports Management
Jake Saunders,74,295,FR,Loveland,OH,Northwestern,2.18,10,5,64134947,Creative Writing
Sam Miller,75,261,FR,Houston,TX,Northwestern,2.04,12,7,794768737,Sports Management
Fred Wyatt,76,290,JR,LAWRENCE,KS,Northwestern,3.18,12,4,200428168,Labor Studies
Joe Spivak,73,290,FR,Darien,IL,Northwestern,2.28,10,5,380343813,Computer Science
Tommy Carnifax,75,260,FR,Warren,OH,Northwestern,3.62,0,8,821793055,Exercise Science
Alex Miller,75,280,SO,Houston,TX,Northwestern,3.2,15,3,697454707,Criminology
Hunter Niswander,77,243,SR,Peninsula,OH,Northwestern,3.42,3,0,36810552,Creative Writing
Joe Gaziano,76,280,SO,Scituate,MA,Northwestern,3.25,8,4,456836093,Theater
Earnest Brown IV,77,257,FR,Aubrey,TX,Northwestern,2.16,6,8,822480936,Criminal Justice
Jordan Thompson,75,290,JR,Cincinnati,OH,Northwestern,2.88,10,6,749673420,Labor Studies
D.J. Knox,67,210,JR,Fairburn,GA,Purdue,3.61,2,8,3467973,Chemical Engineering
Dedrick Mackey,71,175,FR,Miami,FL,Purdue,3.25,2,1,187015040,Sports Management
Da'Wan Hunte,69,190,SR,Miami,FL,Purdue,3.43,1,4,44279485,Sports Management
Elijah Sindelar,76,230,SO,Princeton,KY,Purdue,2.89,1,5,917711495,Economics
DJ Edwards,73,190,FR,West Palm Beach,FL,Purdue,2.71,0,8,888138284,Economics
Kamal Hardy,71,185,SR,Miramar,FL,Purdue,4,0,2,677234135,Political Science
Ja'Whaun Bentley,74,260,SR,Glenarden,MD,Purdue,2.4,1,13,503765352,Electrical Engineering
Corey Holmes,73,190,JR,Pembroke Pines,FL,Purdue,1.61,1,8,210053869,Communication
Griffin Alstott,74,205,FR,--,--,Purdue,2.88,0,5,894235040,Exercise Science
T.J. Jallow,74,200,JR,Olive Branch,MS,Purdue,3.05,0,4,669322473,Exercise Science
Tyler Hamilton,69,175,FR,Hilton Head Island,SC,Purdue,2.87,0,8,572272011,Sports Management
T.J. McCollum,75,235,SR,Birmingham,AL,Purdue,1.79,0,13,546330727,Exercise Science
Eddy Wilson,76,295,JR,Pontiac,MI,Purdue,3.18,0,5,808687560,Creative Writing
Isaac Zico,73,190,JR,Milledgeville,GA,Purdue,3.42,0,7,655222945,Economics
Markell Jones,71,200,JR,Columbus,IN,Purdue,2.93,0,8,409720504,Political Science
Josh Okonye,73,200,SR,Sugar Land,TX,Purdue,2.36,0,3,53194006,Finance
Lorenzo Neal,74,325,SO,Houston,TX,Purdue,2.27,1,5,999757541,Civil Engineering
Terry Wright,71,180,JR,Memphis,TN,Purdue,2.91,1,7,665708758,Economics
Mike Little,73,195,SO,Newhall,CA,Purdue,3.86,0,1,52970742,Geography
Gregory Phillips,73,200,SR,Atlanta,GA,Purdue,2.69,0,6,998591866,Exercise Science
David Blough,73,205,JR,Carrollton,TX,Purdue,3.97,0,4,402059186,Nutrition
Antoine Miles,74,250,SR,Canton,OH,Purdue,2.86,0,7,768319784,Electrical Engineering
Jared Sparks,73,205,FR,Geismar,LA,Purdue,3.44,1,2,975551225,Creative Writing
Spencer Evans,73,200,JR,Arlington,TX,Purdue,4,1,0,882340758,Economics
Aidan O'Connell,75,190,FR,Lincolnshire,IL,Purdue,2.7,0,4,933265719,Public Policy
Gelen Robinson,73,280,SR,Schererville,IN,Purdue,1.84,1,10,961340076,Sports Management
Antonio Blackmon,73,195,JR,Fort Wayne,IN,Purdue,3.21,0,3,457539924,Labor Studies
Danny Carollo,73,205,FR,Lake Forest,IL,Purdue,2.82,0,2,558340892,Communication
Garrett Hudson,74,245,SR,Tallahassee,FL,Purdue,2.4,0,10,796730605,Labor Studies
Cornel Jones,74,240,FR,Miami,FL,Purdue,2.67,0,13,24593388,Sports Management
Nick Sipe,76,200,FR,Villa Park,CA,Purdue,3.29,1,3,25115291,Sports Management
KeyRon Catlett,70,180,FR,Hopkinsville,KY,Purdue,3.63,0,6,193808580,Creative Writing
Cameron Northern,75,215,FR,Jeffersonville,IN,Purdue,3.37,0,3,506944698,Economics
Aaron Banks,76,200,JR,Indianapolis,IN,Purdue,3.58,0,1,964189578,Gender Studies
Benaiah Franklin,73,195,FR,Marietta,GA,Purdue,2.95,0,8,400848093,Communication
Kenneth Major,73,190,FR,Hopkinsville,KY,Purdue,2.8,1,7,104716995,Mechanical Engineering
Markus Bailey,73,235,SO,Columbus,OH,Purdue,2.81,1,11,115762988,Dance
Anthony Mahoungou,75,210,SR,--,--,Purdue,2.79,0,4,840448409,Exercise Science
Sawyer Dawson,73,235,SO,Lakeland,FL,Purdue,2.19,0,14,543104967,Political Science
Josh Hayes,73,185,SO,Indianapolis,IN,Purdue,2.5,1,2,618240664,Labor Studies
Tim Cason,73,195,JR,Clarkston,MI,Purdue,2.11,2,4,849734918,Exercise Science
Tario Fuller,73,190,SO,Sugar Hill,GA,Purdue,1.46,2,9,386596455,Sports Management
Brandon Shuman,71,170,SO,Miami,FL,Purdue,3.94,0,2,796079705,Labor Studies
Carter McGinnis,73,205,FR,Noblesville,IN,Purdue,2.95,0,8,712767406,Public Policy
C.J. Parker,73,205,SR,Menifee,CA,Purdue,3.96,0,4,610761032,History
Navon Mosley,73,190,SO,West Bloomfield,MI,Purdue,3.1,0,9,965866929,Biology
Jacob Abrams,74,195,FR,Carmel,IN,Purdue,3.29,0,1,559560787,Exercise Science
Simeon Smiley,73,205,FR,Pensacola,FL,Purdue,3.5,1,4,282251530,Animal Science
Tobias Larry,73,210,FR,Lakeland,FL,Purdue,2.15,0,13,308106108,Geography
Robert McWilliams,76,210,FR,South Miami,FL,Purdue,3.42,0,5,451360642,Labor Studies
Joe Schopper,73,210,JR,Indianapolis,IN,Purdue,3.69,0,0,928447277,Communication
Jack Wegher,70,205,SO,Sioux Falls,SD,Purdue,2.86,1,8,986781401,Exercise Science
Jackson Anthrop,71,185,FR,West Lafayette,IN,Purdue,2.1,0,7,887681354,Sports Management
Jonah Williams,75,235,FR,West Lafayette,IN,Purdue,1.04,0,15,938797121,Electrical Engineering
Richie Worship,73,260,SO,Cleveland,OH,Purdue,2.47,0,11,715794945,Electrical Engineering
Wes Cook,70,190,SR,Westminster,MD,Purdue,3.95,1,2,713792720,Sports Management
Danny Ezechukwu,74,250,SR,Lithonia,GA,Purdue,2.39,0,10,999465115,Computer Engineering
Brian Lankford-Johnson,73,190,SO,St. Paul,MN,Purdue,2.48,0,11,567614551,Exercise Science
Zac Collins,73,180,FR,Louisville,KY,Purdue,2.87,0,0,210441604,Animal Science
Brennan Thieneman,73,200,FR,Noblesville,IN,Purdue,2.53,0,2,122445279,Economics
Zach Randall,73,200,FR,Fishers,IN,Purdue,1.71,0,12,345363778,Sports Management
Ronnie Hill,73,200,SO,Indianapolis,IN,Purdue,3.52,2,5,684788596,Exercise Science
Alexander Horvath,75,220,FR,Mishawaka,IN,Purdue,3.45,2,6,327497036,Nutrition
Jacob Thieneman,73,210,JR,Noblesville,IN,Purdue,3.23,0,4,705973053,Communication
Brian Bravo,74,195,JR,North Aurora,IL,Purdue,2.91,0,0,111589300,Psychology
David Day,69,185,SO,Indianapolis,IN,Purdue,3.44,0,2,309636196,Communication
Andy Chelf,73,190,SO,Southlake,TX,Purdue,2.98,0,6,200336239,Mechanical Engineering
Myles Homan,73,220,SO,Cincinnati,OH,Purdue,3.45,0,0,712703932,Geography
Anthony Watts,76,295,FR,Houston,TX,Purdue,2.16,0,8,412002037,Exercise Science
Lane Beeler,70,230,JR,West Point,IA,Purdue,2.78,0,9,386483353,Sports Management
Austin Larkin,75,255,SR,University City,MO,Purdue,3.55,0,5,687361428,Psychology
Race Johnson,71,185,SR,Carmel,IN,Purdue,2.95,0,0,756170609,Economics
Ben Makowski,74,250,JR,Osceola,IN,Purdue,3.25,0,2,385352439,Electrical Engineering
Ryan Sadkowski,71,225,JR,Glen Ellyn,IL,Purdue,3.63,0,2,95135412,ITI
Rob Simmons,77,230,JR,Philadelphia,PA,Purdue,1.78,0,14,480936482,Mechanical Engineering
Dennis Johnson,75,180,FR,Fort Wayne,IN,Purdue,3.08,0,5,603896731,Gender Studies
